m,theta,legality_count,total_checked_count,legality_ratio,scenario
5,0.45,270,1440,0.1875,churn_burst
5,0.5,245,1440,0.1701388888888889,churn_burst
5,0.55,223,1440,0.15486111111111112,churn_burst
5,0.6,190,1440,0.13194444444444445,churn_burst
7,0.45,244,1440,0.16944444444444445,churn_burst
7,0.5,219,1440,0.15208333333333332,churn_burst
7,0.55,190,1440,0.13194444444444445,churn_burst
7,0.6,163,1440,0.11319444444444444,churn_burst
9,0.45,214,1440,0.1486111111111111,churn_burst
9,0.5,184,1440,0.12777777777777777,churn_burst
9,0.55,151,1440,0.10486111111111111,churn_burst
9,0.6,118,1440,0.08194444444444444,churn_burst
