m,theta,legality_count,total_checked_count,legality_ratio,scenario
5,0.45,401,1440,0.27847222222222223,high_rtt_burst
5,0.5,401,1440,0.27847222222222223,high_rtt_burst
5,0.55,399,1440,0.27708333333333335,high_rtt_burst
5,0.6,383,1440,0.2659722222222222,high_rtt_burst
7,0.45,399,1440,0.27708333333333335,high_rtt_burst
7,0.5,397,1440,0.27569444444444446,high_rtt_burst
7,0.55,380,1440,0.2638888888888889,high_rtt_burst
7,0.6,297,1440,0.20625,high_rtt_burst
9,0.45,377,1440,0.26180555555555557,high_rtt_burst
9,0.5,361,1440,0.25069444444444444,high_rtt_burst
9,0.55,296,1440,0.20555555555555555,high_rtt_burst
9,0.6,155,1440,0.1076388888888889,high_rtt_burst
