low_action,count,ratio,scenario
320|100,871,0.6048611111111111,high_rtt_burst
320|60,328,0.22777777777777777,high_rtt_burst
256|60,75,0.052083333333333336,high_rtt_burst
384|80,66,0.04583333333333333,high_rtt_burst
320|80,38,0.02638888888888889,high_rtt_burst
256|40,28,0.019444444444444445,high_rtt_burst
320|40,21,0.014583333333333334,high_rtt_burst
256|80,6,0.004166666666666667,high_rtt_burst
384|100,5,0.003472222222222222,high_rtt_burst
256|100,1,0.0006944444444444445,high_rtt_burst
384|40,1,0.0006944444444444445,high_rtt_burst
