epoch,A_e,Q_e,S_e,L_queue_e,L_batch_e,L_cons_e,L_bar_e,RTT_e,chi_e,h_e,U_e,Z_e,m_e,b_e,tau_e,theta_e,eligible_size,executed_committee_size,pollute_rate,unsafe,reward_terms,cost_terms,reward,cost,timeout_failure,leader_unstable,tps,mask_ratio,queue_next,invalid_action,committee_members,dim_weights,context_vector,trust_scores,malicious_true,malicious_pred,episode,step
0,258,0.0,256.0,0.0,0.0,22.573296595156794,22.573296595156794,29.500223218423884,0.07407407407407407,1.0,0,1,13,256,60,0.6,16,13,0.27434842249657065,0,"{'throughput': 8.878521735832352, 'latency': -1.8058637276125435, 'queue': -0.05, 'smooth': -0.36, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",6.662658008219809,0.0,0,0,11340.833578331929,0.52,2.0,0,"[25, 19, 4, 24, 7, 14, 11, 3, 21, 23, 0, 8, 26]","{'svc': 0.24852421879768372, 'con': 0.25113365054130554, 'rec': 0.25518250465393066, 'stab': 0.2451595962047577}","[258.0, 0.0, 0.0, 29.50022315979004, 0.07407407462596893, 27.0]","[0.6791611909866333, 0.47705546021461487, 0.46829962730407715, 0.6489799618721008, 0.6670438647270203, 0.439603328704834, 0.22927743196487427, 0.6751008629798889, 0.6661410331726074, 0.4565751254558563, 0.6765727400779724, 0.6751465201377869, 0.649395763874054, 0.4281575679779053, 0.6582676768302917, 0.44541773200035095, 0.21739639341831207, 0.6758686304092407, 0.43456295132637024, 0.68016517162323, 0.43586447834968567, 0.6769410967826843, 0.42434921860694885, 0.661241888999939, 0.6771997809410095, 0.6633245348930359, 0.6594710946083069]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,0
1,263,2.0,256.0,0.000625,0.0,18.632561927204698,18.633186927204697,16.364440991916894,0.07407407407407407,1.0,0,1,13,256,60,0.6,15,13,0.28532235939643347,0,"{'throughput': 8.878521735832352, 'latency': -1.4906549541763758, 'queue': -0.225, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",7.162866781655977,0.0,0,0,13738.927269936665,0.52,9.0,0,"[17, 24, 4, 23, 12, 19, 3, 25, 26, 14, 10, 21, 7]","{'svc': 0.20858442783355713, 'con': 0.260079562664032, 'rec': 0.2639484107494354, 'stab': 0.26738762855529785}","[263.0, 2.0, 22.57329750061035, 16.36444091796875, 0.07407407462596893, 16.0]","[0.4143374562263489, 0.4693562388420105, 0.47144725918769836, 0.6980136632919312, 0.7263802886009216, 0.45663967728614807, 0.14900605380535126, 0.7276898622512817, 0.7244787812232971, 0.4522625505924225, 0.725131630897522, 0.7258754968643188, 0.7159416675567627, 0.454627126455307, 0.7154926061630249, 0.466183066368103, 0.44913116097450256, 0.7253648638725281, 0.4528276026248932, 0.7355092763900757, 0.4672528803348541, 0.7329161167144775, 0.43815878033638, 0.7397141456604004, 0.7328475117683411, 0.7151309251785278, 0.710568904876709]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1
2,256,9.0,256.0,0.0028125,0.0,29.02635180788282,29.02916430788282,34.961024544794576,0.1111111111111111,1.0,0,1,13,256,60,0.6,13,13,0.27983539094650206,0,"{'throughput': 8.878521735832352, 'latency': -2.3223331446306257, 'queue': -0.225, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",6.331188591201727,0.0,0,0,8818.717524378875,0.52,9.0,0,"[21, 14, 17, 11, 26, 25, 7, 3, 12, 4, 19, 23, 8]","{'svc': 0.1981242597103119, 'con': 0.2717559337615967, 'rec': 0.28081220388412476, 'stab': 0.2493075728416443}","[256.0, 9.0, 18.63318634033203, 34.96102523803711, 0.1111111119389534, 15.0]","[0.5177353024482727, 0.4367979168891907, 0.4678375720977783, 0.7254206538200378, 0.749163031578064, 0.45228156447410583, 0.12244243174791336, 0.7492485642433167, 0.743096649646759, 0.46228963136672974, 0.5421496629714966, 0.7409350275993347, 0.733536422252655, 0.4470749795436859, 0.7370467185974121, 0.4673546552658081, 0.5595737099647522, 0.7341091632843018, 0.4538624584674835, 0.7490365505218506, 0.45049312710762024, 0.7534361481666565, 0.43908023834228516, 0.7505522966384888, 0.5187150835990906, 0.7401078939437866, 0.7278011441230774]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,2
3,283,9.0,256.0,0.0028125,0.0,17.034420267879263,17.037232767879264,27.086684843548163,0.037037037037037035,1.0,0,1,13,256,60,0.6,14,13,0.2784636488340192,0,"{'throughput': 8.878521735832352, 'latency': -1.3629786214303412, 'queue': -0.9, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",6.615543114402011,0.0,0,0,15025.914330562146,0.52,36.0,0,"[16, 4, 12, 26, 19, 21, 7, 14, 25, 3, 17, 8, 23]","{'svc': 0.20364563167095184, 'con': 0.26696622371673584, 'rec': 0.26148995757102966, 'stab': 0.2678981423377991}","[283.0, 9.0, 29.029163360595703, 27.086685180664062, 0.03703703731298447, 13.0]","[0.5739948153495789, 0.3696194589138031, 0.41240280866622925, 0.7351306676864624, 0.7520879507064819, 0.3730871379375458, 0.08200421184301376, 0.7462716102600098, 0.7408283948898315, 0.382750540971756, 0.4193238317966461, 0.7502413392066956, 0.7398860454559326, 0.3756222724914551, 0.74132239818573, 0.38586264848709106, 0.6040773391723633, 0.7377111911773682, 0.38562363386154175, 0.7526302337646484, 0.3781478703022003, 0.7527962923049927, 0.3505525588989258, 0.751946210861206, 0.40092962980270386, 0.7394213080406189, 0.7306807637214661]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,3
4,274,36.0,256.0,0.01125,0.0,18.755780018900584,18.767030018900584,16.775167964236513,0.07407407407407407,1.0,0,1,13,256,60,0.6,14,13,0.27983539094650206,0,"{'throughput': 8.878521735832352, 'latency': -1.5013624015120468, 'queue': -1.35, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",6.027159334320306,0.0,0,0,13640.943705113606,0.44,54.0,0,"[21, 25, 4, 3, 8, 16, 12, 23, 26, 14, 0, 7, 17]","{'svc': 0.20507438480854034, 'con': 0.2909872233867645, 'rec': 0.26251220703125, 'stab': 0.24142619967460632}","[274.0, 36.0, 17.037233352661133, 16.77516746520996, 0.07407407462596893, 14.0]","[0.6127854585647583, 0.31583771109580994, 0.3432515263557434, 0.745732307434082, 0.7511932849884033, 0.30151501297950745, 0.20994512736797333, 0.753849983215332, 0.7517619132995605, 0.31657469272613525, 0.34002023935317993, 0.7528147101402283, 0.7463923096656799, 0.328692227602005, 0.7479152679443359, 0.3278796374797821, 0.6446980237960815, 0.7431066036224365, 0.3178246021270752, 0.6197472810745239, 0.3086533844470978, 0.7581071257591248, 0.28692054748535156, 0.7594909071922302, 0.32370686531066895, 0.7541972398757935, 0.7495793700218201]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,4
5,274,54.0,256.0,0.016875,0.0,21.83750491467194,21.854379914671938,27.047584283474364,0.07407407407407407,1.0,0,1,13,256,60,0.6,14,13,0.2674897119341564,0,"{'throughput': 8.878521735832352, 'latency': -1.7483503931737552, 'queue': -1.8, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",5.3301713426585975,0.0,0,0,11713.899044471831,0.44,72.0,0,"[12, 23, 14, 26, 21, 8, 11, 17, 4, 16, 25, 3, 0]","{'svc': 0.21678905189037323, 'con': 0.2668688893318176, 'rec': 0.2694534659385681, 'stab': 0.24688851833343506}","[274.0, 54.0, 18.767030715942383, 27.047584533691406, 0.07407407462596893, 14.0]","[0.6381202340126038, 0.2747281789779663, 0.2913954257965088, 0.7452916502952576, 0.7563267350196838, 0.2573074698448181, 0.30328816175460815, 0.7575944662094116, 0.7528654932975769, 0.26633065938949585, 0.27347269654273987, 0.7597988247871399, 0.7502323985099792, 0.2733583450317383, 0.7474414706230164, 0.28144627809524536, 0.6697520017623901, 0.7502091526985168, 0.27197474241256714, 0.5243163108825684, 0.26513829827308655, 0.7651515603065491, 0.2459850162267685, 0.7567306756973267, 0.4061526954174042, 0.756044328212738, 0.7492994070053101]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,5
6,261,72.0,256.0,0.0225,0.0,23.384279760323526,23.406779760323527,32.20350043564632,0.07407407407407407,1.0,0,1,13,256,60,0.6,14,13,0.28532235939643347,0,"{'throughput': 8.878521735832352, 'latency': -1.872542380825882, 'queue': -1.925, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",5.080979355006471,0.0,0,0,10937.002125937104,0.52,77.0,0,"[12, 3, 14, 17, 25, 4, 23, 11, 7, 0, 26, 8, 21]","{'svc': 0.20877981185913086, 'con': 0.2653745412826538, 'rec': 0.27120456099510193, 'stab': 0.2546411156654358}","[261.0, 72.0, 21.854379653930664, 32.20349884033203, 0.07407407462596893, 14.0]","[0.6635853052139282, 0.25444892048835754, 0.2655182182788849, 0.7478599548339844, 0.7591889500617981, 0.2272357940673828, 0.376129686832428, 0.7680749297142029, 0.7548874020576477, 0.24496084451675415, 0.3553117513656616, 0.7608186602592468, 0.7560561895370483, 0.2458208203315735, 0.7504658699035645, 0.2514308989048004, 0.6873167753219604, 0.7550111413002014, 0.24822166562080383, 0.5637564063072205, 0.241570383310318, 0.7648105025291443, 0.22939173877239227, 0.7637304067611694, 0.46310216188430786, 0.7528792023658752, 0.7559745907783508]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,6
7,234,77.0,311.0,0.019807073954983923,0.48832632660544567,38.42937640421738,38.93750980477781,18.156291717761626,0.2222222222222222,1.0,0,1,13,384,40,0.4,14,13,0.27983539094650206,0,"{'throughput': 9.188805100495172, 'latency': -3.115000784382225, 'queue': -0.0, 'smooth': -0.4799999999999999, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",5.593804316112947,0.0,0,0,7987.156897276438,0.24,0.0,0,"[17, 25, 21, 11, 26, 3, 4, 23, 12, 10, 24, 16, 19]","{'svc': 0.21494121849536896, 'con': 0.2783830761909485, 'rec': 0.25207823514938354, 'stab': 0.2545974552631378}","[234.0, 77.0, 23.406780242919922, 18.156291961669922, 0.2222222238779068, 14.0]","[0.5858644247055054, 0.2254602164030075, 0.22984939813613892, 0.7547648549079895, 0.7609805464744568, 0.19920994341373444, 0.43013131618499756, 0.6638287901878357, 0.6651517152786255, 0.21533119678497314, 0.41875872015953064, 0.7608036398887634, 0.7575394511222839, 0.22627109289169312, 0.6517083644866943, 0.22655829787254333, 0.6993562579154968, 0.7636451721191406, 0.20937874913215637, 0.590736448764801, 0.21215814352035522, 0.7622213959693909, 0.207246333360672, 0.7633122205734253, 0.5049172639846802, 0.7566498517990112, 0.7570012211799622]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,7
8,260,0.0,260.0,0.0,1.5696907214957512,23.553544855279547,25.123235576775297,24.21774211019107,0.1111111111111111,1.0,0,1,11,512,40,0.6,12,11,0.2825788751714678,0,"{'throughput': 8.90323265171631, 'latency': -2.009858846142024, 'queue': -0.0, 'smooth': -0.6, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",6.293373805574286,0.0,0,0,10348.985472251516,0.32,0.0,0,"[25, 4, 16, 21, 26, 12, 17, 3, 23, 14, 11]","{'svc': 0.2557583749294281, 'con': 0.22090715169906616, 'rec': 0.24097613990306854, 'stab': 0.2823583781719208}","[260.0, 0.0, 38.9375114440918, 24.217742919921875, 0.1111111119389534, 14.0]","[0.5250955820083618, 0.2522725760936737, 0.24688778817653656, 0.7678005695343018, 0.7695539593696594, 0.21382774412631989, 0.4896000027656555, 0.5912463665008545, 0.6023942232131958, 0.1723439246416092, 0.4799879193305969, 0.7759926319122314, 0.7711150646209717, 0.19404096901416779, 0.6782394647598267, 0.22906047105789185, 0.7152327299118042, 0.7723376154899597, 0.2258169949054718, 0.626349151134491, 0.22710299491882324, 0.7730794548988342, 0.2301023304462433, 0.7705827355384827, 0.5499958992004395, 0.7647562623023987, 0.7694084048271179]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,8
9,274,0.0,274.0,0.0,1.3846301039640128,24.119784597582225,25.50441470154624,39.68545483144693,0.07407407407407407,1.0,0,1,11,512,40,0.6,11,11,0.27434842249657065,0,"{'throughput': 8.986833756266515, 'latency': -2.0403531761236993, 'queue': -0.0, 'smooth': -0.0, 'invalid_action': 0.0}","{'unsafe': 0.0, 'honest_deficit': 0.0}",6.946480580142816,0.0,0,0,10743.238110200129,0.33,0.0,0,"[25, 16, 3, 21, 12, 19, 14, 23, 26, 11, 17]","{'svc': 0.27194103598594666, 'con': 0.21096529066562653, 'rec': 0.2380286008119583, 'stab': 0.2790651023387909}","[274.0, 0.0, 25.12323570251465, 39.685455322265625, 0.07407407462596893, 12.0]","[0.4454439580440521, 0.23008234798908234, 0.22095337510108948, 0.7579888701438904, 0.6803683042526245, 0.1840774565935135, 0.511901319026947, 0.5152010321617126, 0.526116669178009, 0.15027271211147308, 0.4976871609687805, 0.7638816237449646, 0.7622998356819153, 0.17359593510627747, 0.6797895431518555, 0.21141567826271057, 0.7135972380638123, 0.7639321684837341, 0.2029058039188385, 0.6308827996253967, 0.21056108176708221, 0.7613146901130676, 0.21118393540382385, 0.7580784559249878, 0.48235225677490234, 0.7541974186897278, 0.7604721188545227]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,9
