action,count,ratio
0.185185|0.45|384|80,5262,0.0548125
0.185185|0.50|256|60,1712,0.017833333333333333
0.259259|0.50|384|80,1383,0.01440625
0.185185|0.50|320|60,1351,0.014072916666666666
0.333333|0.45|384|60,1350,0.0140625
0.185185|0.50|448|100,1343,0.013989583333333333
0.185185|0.50|384|60,1339,0.013947916666666667
0.333333|0.50|512|60,1329,0.01384375
0.185185|0.45|256|40,1173,0.01221875
0.259259|0.55|448|60,1095,0.01140625
0.333333|0.45|512|80,1067,0.011114583333333334
0.259259|0.60|384|100,892,0.009291666666666667
0.185185|0.55|384|60,825,0.00859375
0.185185|0.45|448|80,817,0.008510416666666666
0.333333|0.50|448|60,798,0.0083125
0.259259|0.55|384|40,781,0.008135416666666668
0.185185|0.60|384|60,780,0.008125
0.185185|0.55|256|60,743,0.0077395833333333336
0.259259|0.55|320|100,737,0.0076770833333333335
0.259259|0.50|512|60,727,0.007572916666666667
0.259259|0.55|384|80,717,0.00746875
0.185185|0.45|512|60,701,0.007302083333333333
0.259259|0.45|320|40,658,0.006854166666666666
0.259259|0.50|384|100,649,0.006760416666666666
0.259259|0.55|448|80,639,0.00665625
0.333333|0.50|384|80,613,0.006385416666666667
0.185185|0.50|320|40,607,0.006322916666666667
0.185185|0.55|448|40,590,0.006145833333333333
0.185185|0.55|448|60,581,0.006052083333333333
0.185185|0.45|256|100,563,0.005864583333333334
0.333333|0.45|448|60,538,0.005604166666666667
0.185185|0.55|512|40,531,0.00553125
0.185185|0.55|320|40,520,0.005416666666666667
0.259259|0.55|448|40,514,0.005354166666666667
0.259259|0.55|320|40,508,0.005291666666666667
0.333333|0.60|256|40,504,0.00525
0.259259|0.45|256|60,496,0.005166666666666667
0.259259|0.60|384|60,495,0.00515625
0.259259|0.55|256|100,490,0.005104166666666667
0.259259|0.60|448|80,487,0.0050729166666666665
0.333333|0.55|320|60,471,0.00490625
0.333333|0.55|320|40,470,0.004895833333333334
0.259259|0.60|384|40,465,0.00484375
0.333333|0.50|384|40,460,0.004791666666666666
0.259259|0.55|384|100,457,0.004760416666666666
0.259259|0.60|384|80,450,0.0046875
0.333333|0.50|448|40,447,0.00465625
0.185185|0.60|512|100,445,0.004635416666666667
0.185185|0.45|384|40,443,0.004614583333333333
0.259259|0.45|320|60,442,0.004604166666666667
0.333333|0.60|512|80,441,0.00459375
0.185185|0.45|512|100,441,0.00459375
0.185185|0.60|512|60,435,0.00453125
0.333333|0.50|256|60,434,0.004520833333333333
0.185185|0.45|256|80,433,0.004510416666666667
0.185185|0.60|320|80,432,0.0045
0.185185|0.50|512|80,432,0.0045
0.185185|0.60|384|40,431,0.004489583333333333
0.185185|0.60|448|40,428,0.004458333333333333
0.185185|0.45|448|60,425,0.004427083333333333
0.185185|0.45|320|100,420,0.004375
0.185185|0.45|512|80,419,0.004364583333333333
0.185185|0.55|320|100,415,0.004322916666666667
0.259259|0.55|256|40,405,0.00421875
0.259259|0.50|256|60,404,0.004208333333333333
0.259259|0.50|320|80,404,0.004208333333333333
0.333333|0.45|256|60,400,0.004166666666666667
0.185185|0.45|384|60,399,0.00415625
0.185185|0.50|448|60,397,0.004135416666666667
0.259259|0.60|320|40,396,0.004125
0.185185|0.50|512|60,386,0.004020833333333334
0.259259|0.60|256|40,385,0.0040104166666666665
0.259259|0.60|256|80,384,0.004
0.333333|0.45|384|100,381,0.00396875
0.259259|0.45|512|40,379,0.003947916666666666
0.259259|0.55|448|100,379,0.003947916666666666
0.259259|0.50|256|40,378,0.0039375
0.259259|0.55|320|60,374,0.003895833333333333
0.185185|0.55|512|80,374,0.003895833333333333
0.259259|0.45|384|80,369,0.00384375
0.259259|0.45|384|60,368,0.003833333333333333
0.259259|0.45|512|100,366,0.0038125
0.185185|0.60|384|80,364,0.0037916666666666667
0.333333|0.45|256|100,360,0.00375
0.259259|0.50|448|100,356,0.0037083333333333334
0.259259|0.60|256|100,351,0.00365625
0.185185|0.55|448|100,350,0.0036458333333333334
0.333333|0.45|320|40,346,0.0036041666666666665
0.185185|0.50|384|40,345,0.00359375
0.185185|0.60|512|40,345,0.00359375
0.185185|0.45|320|40,343,0.0035729166666666665
0.185185|0.55|384|40,335,0.0034895833333333333
0.185185|0.50|256|100,335,0.0034895833333333333
0.333333|0.45|448|80,333,0.00346875
0.259259|0.45|448|40,332,0.0034583333333333332
0.333333|0.55|512|100,330,0.0034375
0.259259|0.50|448|40,329,0.003427083333333333
0.259259|0.45|384|40,324,0.003375
0.259259|0.55|512|100,323,0.003364583333333333
0.333333|0.60|512|100,322,0.0033541666666666668
0.259259|0.50|384|40,321,0.00334375
0.259259|0.45|256|40,320,0.0033333333333333335
0.333333|0.60|384|60,317,0.0033020833333333335
0.333333|0.60|320|60,317,0.0033020833333333335
0.333333|0.45|448|100,314,0.0032708333333333335
0.259259|0.60|256|60,311,0.0032395833333333335
0.333333|0.50|448|80,311,0.0032395833333333335
0.185185|0.55|256|80,308,0.0032083333333333334
0.259259|0.45|512|80,307,0.0031979166666666666
0.333333|0.60|384|80,307,0.0031979166666666666
0.185185|0.60|256|80,301,0.0031354166666666666
0.333333|0.45|384|80,300,0.003125
0.185185|0.55|256|100,298,0.0031041666666666665
0.259259|0.45|512|60,294,0.0030625
0.259259|0.50|512|80,293,0.0030520833333333333
0.259259|0.45|384|100,293,0.0030520833333333333
0.333333|0.55|320|100,290,0.0030208333333333333
0.185185|0.45|448|100,287,0.0029895833333333332
0.185185|0.60|320|60,286,0.002979166666666667
0.185185|0.60|448|60,284,0.002958333333333333
0.259259|0.45|320|80,284,0.002958333333333333
0.333333|0.60|512|60,282,0.0029375
0.185185|0.50|320|80,280,0.002916666666666667
0.185185|0.55|256|40,279,0.00290625
0.259259|0.50|384|60,278,0.002895833333333333
0.333333|0.45|320|60,278,0.002895833333333333
0.185185|0.50|256|40,277,0.0028854166666666668
0.259259|0.45|256|80,275,0.002864583333333333
0.333333|0.60|448|60,275,0.002864583333333333
0.333333|0.50|448|100,274,0.0028541666666666667
0.333333|0.45|320|100,272,0.0028333333333333335
0.333333|0.60|448|40,271,0.0028229166666666667
0.259259|0.55|256|80,271,0.0028229166666666667
0.333333|0.55|448|40,271,0.0028229166666666667
