run_id,seed,num_episodes,episode_length,total_env_steps,eval_every,eval_episodes,config,train_output_dir,eval_output_dir,lr,target_update_period,warmup_steps,epsilon_decay_steps,train_freq,max_unsafe,max_structural_infeasible,max_timeout,max_mean_latency,min_tps,status,worst_adv_unsafe,worst_adv_structural_infeasible,worst_adv_timeout,worst_adv_mean_latency,worst_adv_tps
cfg011,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg011/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg011/eval,5e-05,500,10000,120000,2,0.3458333333333333,0.23,0.35,115.37342527104649,1565.5216704531267,complete,-inf,-inf,-inf,-inf,-inf
cfg064,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg064/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg064/eval,0.0001,2000,5000,80000,4,0.3458333333333333,0.23,0.35,118.97005452393309,1577.9444122205412,complete,-inf,-inf,-inf,-inf,-inf
cfg005,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg005/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg005/eval,5e-05,500,5000,120000,2,0.3458333333333333,0.23,0.35083333333333333,141.92659775660607,1341.135805281349,complete,-inf,-inf,-inf,-inf,-inf
cfg014,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg014/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg014/eval,5e-05,1000,5000,50000,4,0.3458333333333333,0.23,0.35333333333333333,123.81777284591779,1383.0044279093886,complete,-inf,-inf,-inf,-inf,-inf
cfg061,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg061/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg061/eval,0.0001,2000,5000,50000,2,0.3458333333333333,0.23,0.35541666666666666,115.70625401454856,1625.98470879879,complete,-inf,-inf,-inf,-inf,-inf
cfg022,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg022/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg022/eval,5e-05,1000,10000,80000,4,0.3458333333333333,0.23,0.36,131.54271891162915,1418.5556711678014,complete,-inf,-inf,-inf,-inf,-inf
cfg052,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg052/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg052/eval,0.0001,1000,5000,80000,4,0.3458333333333333,0.23,0.36125,115.02618632614009,1643.3981742073172,complete,-inf,-inf,-inf,-inf,-inf
cfg035,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg035/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg035/eval,5e-05,2000,10000,120000,2,0.3458333333333333,0.23,0.3675,111.08013239049643,1588.6787207596549,complete,-inf,-inf,-inf,-inf,-inf
cfg025,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg025/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg025/eval,5e-05,2000,5000,50000,2,0.3458333333333333,0.23,0.37833333333333335,116.58535565761126,1541.05379886428,complete,-inf,-inf,-inf,-inf,-inf
cfg043,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg043/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg043/eval,0.0001,500,10000,50000,2,0.3458333333333333,0.23,0.39458333333333334,108.41884595074492,1624.4513908605084,complete,-inf,-inf,-inf,-inf,-inf
cfg092,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg092/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg092/eval,0.0002,1000,10000,50000,4,0.3458333333333333,0.23,0.39666666666666667,114.80015764175859,1634.3660100412321,complete,-inf,-inf,-inf,-inf,-inf
cfg106,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg106/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg106/eval,0.0002,2000,10000,80000,4,0.3458333333333333,0.23,0.4008333333333333,107.39234106888306,1564.122059196884,complete,-inf,-inf,-inf,-inf,-inf
cfg002,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg002/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg002/eval,5e-05,500,5000,50000,4,0.3458333333333333,0.23,0.40791666666666665,117.03768006761891,1549.2714465837998,complete,-inf,-inf,-inf,-inf,-inf
cfg023,42,240,120,28800,20,20,configs/default.yaml,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg023/train,/root/blockchainSim/blockchain_gov_sim/outputs/governance_dqn_search/cfg023/eval,5e-05,1000,10000,120000,2,0.3458333333333333,0.23,0.4125,107.86931190348109,1659.3337003506338,complete,-inf,-inf,-inf,-inf,-inf
